nom,prix,type,annee,kilometrage,localisation
Peterbilt 365,"39,900 USD",Concrete Trucks,2008,Non spécifié,"Phoenix, Arizona,  US"
Freightliner M2 106,Pas de prix,Box trucks,2018,174265,"North East, Maryland,  US"
Freightliner M2 106,Pas de prix,Box trucks,2019,171037,"North East, Maryland,  US"
Ford F-350,Pas de prix,Flatbed Trucks,2014,157291,"Lake Worth, Texas,  US"
Chevrolet 3500,Pas de prix,Box trucks,2020,213955,"Davenport, Florida,  US"
Mack CV713,Pas de prix,Dump Trucks,2006,465557,"Davenport, Florida,  US"
Mack CHN613,Pas de prix,Dump Trucks,2006,581850,"Lake Worth, Texas,  US"
Hino 268,Pas de prix,Box trucks,2020,283195,"Newnan, Georgia,  US"
Ford F-350,Pas de prix,Flatbed Trucks,2014,214783,"Lake Worth, Texas,  US"
Freightliner M2 106,Pas de prix,Reefer Trucks,2019,168839,"Davenport, Florida,  US"
Ford F-450,Pas de prix,Flatbed Trucks,2016,154169,"Lake Worth, Texas,  US"
Ford F-450,Pas de prix,Flatbed Trucks,2016,272488,"Lake Worth, Texas,  US"
International 8600,Pas de prix,Dump Trucks,2003,1011757,"Lake Worth, Texas,  US"
Chevrolet Silverado 2500HD,Pas de prix,Flatbed Trucks,2016,200576,"Lake Worth, Texas,  US"
Freightliner 114SD,Pas de prix,Other Trucks,2017,226030,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Box trucks,2019,154185,"Lake Worth, Texas,  US"
Freightliner M2106,Pas de prix,Box trucks,2017,179789,"Davenport, Florida,  US"
Mack CV713,Pas de prix,Dump Trucks,2007,484298,"Davenport, Florida,  US"
Freightliner M2106,Pas de prix,Box trucks,2022,Non spécifié,"Lake Worth, Texas,  US"
Ford F-550,Pas de prix,Flatbed Trucks,2016,151769,"Davenport, Florida,  US"
Freightliner M2 106,Pas de prix,Dump Trucks,2019,258629,"Davenport, Florida,  US"
Chevrolet Express G3500,Pas de prix,Box trucks,2021,41165,"Davenport, Florida,  US"
Freightliner M2 106,Pas de prix,Flatbed Trucks,2019,152569,"Perris, California,  US"
Ford E350,Pas de prix,Box trucks,2022,95257,"Perris, California,  US"
International MV607 SBA,Pas de prix,Box trucks,2020,106261,"Perris, California,  US"
Ford F-550,Pas de prix,Flatbed Trucks,2019,202587,"Perris, California,  US"
International 4400 4x2 Rail Emergency Truck,Pas de prix,Other Trucks,2006,Non spécifié,"Perris, California,  US"
Freightliner M2 106,Pas de prix,Reefer Trucks,2019,69583,"Perris, California,  US"
Hino 155,"29,500 USD",Other Trucks,2020,105900,Elite Trucks USA
Ford F-550,Pas de prix,Flatbed Trucks,2008,72957,"Perris, California,  US"
Hino 268,Pas de prix,Box trucks,2018,261933,"Perris, California,  US"
