titre,prix,annee,km,pays,type,modele,lien
Ford TRANSIT,Company,2020,"65,642 miles",Italy,Other Trucks,Ford TRANSIT,https://www.mascus.com/transportation/other-trucks/ford-transit/ag7j9o7f.html
Freightliner Business Class M2,Company,2016,,United States,Curtain Side Trucks,Freightliner Business Class M2,https://www.mascus.com/transportation/curtainsider-trucks/freightliner-business-class-m2/3ugs5i8k.html
Ford F-550,Company,2000,"113,971 miles",United States,Dump Trucks,Ford F-550,https://www.mascus.com/transportation/tipper-trucks/ford-f-550/4i3pefap.html
Mercedes-Benz Arocs 2563 Schaktbil,Company,2018,"22,369 miles",Sweden,Dump Trucks,Mercedes-Benz Arocs 2563 schaktbil,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-arocs-2563-schaktbil/fm5g9ocg.html
Kenworth,Company,,,United States,Tank Trucks,Kenworth,https://www.mascus.com/transportation/tank-trucks/kenworth/8m6l5q4q.html
"MAN 18.330 TGS 4x2, BDF, LBW, AHK, Intarder, Klima",Company,2021,,Germany,Cab & Chassis Trucks,"MAN 18.330 TGS 4x2, BDF, LBW, AHK, Intarder, Klima",https://www.mascus.com/transportation/chassis-cab-trucks/man-18-330-tgs-4x2-bdf-lbw-ahk-intarder-klima/hh5o6nbn.html
Ford E450,Company,2018,"88,167 miles",United States,Box trucks,Ford E450,https://www.mascus.com/transportation/box-body-trucks/ford-e450/cl7fgp3g.html
Ford CF7000,Company,1987,"169,584 miles",United States,Other Trucks,Ford CF7000,https://www.mascus.com/transportation/other-trucks/ford-cf7000/9nfq9l5r.html
Freightliner FL70,Company,1996,,United States,Flatbed Trucks,Freightliner FL70,https://www.mascus.com/transportation/flatbed-dropside-trucks/freightliner-fl70/8ualcthh.html
Mercedes-Benz Atego 1523 Pritsche Mit Kran Cormach 8700-E2,Company,2000,"396,373 miles",Italy,Flatbed Trucks,Mercedes-Benz Atego 1523 Pritsche mit Kran Cormach 8700-E2,https://www.mascus.com/transportation/flatbed-dropside-trucks/mercedes-benz-atego-1523-pritsche-mit-kran-cormach-8700-e2/9pbucr4h.html
Freightliner M2 106,Company,2019,"181,695 miles",United States,Box trucks,Freightliner M2 106,https://www.mascus.com/transportation/box-body-trucks/freightliner-m2-106/8gaffh8t.html
Ford F-550,Company,2019,"199,517 miles",United States,Flatbed Trucks,Ford F-550,https://www.mascus.com/transportation/flatbed-dropside-trucks/ford-f-550/aj5s6sgg.html
Renault Midlum 220 + MANUAL + LIFT + 12T,Company,2006,"316,450 miles",Netherlands,Curtain Side Trucks,Renault Midlum 220 + MANUAL + LIFT + 12T,https://www.mascus.com/transportation/curtainsider-trucks/renault-midlum-220-manual-lift-12t/gkhnficr.html
MAN TGA 32.463,Company,2003,,Poland,Hook lift trucks,MAN TGA 32.463,https://www.mascus.com/transportation/hook-lift-trucks/man-tga-32-463/7oir5h8i.html
Volvo FM 460 8X4 Full Steel Manual Gearbox Big-Axle,Company,2005,"419,698 miles",Netherlands,Hook lift trucks,Volvo FM 460 8X4 Full Steel Manual Gearbox Big-Axle,https://www.mascus.com/transportation/hook-lift-trucks/volvo-fm-460-8x4-full-steel-manual-gearbox-big-axle/eheiih4h.html
MAN TGM 18.290 4x4 3 Way Meiller Tipper,Company,,"187,654 miles",Hungary,Dump Trucks,MAN TGM 18.290 4x4 3 Way Meiller Tipper,https://www.mascus.com/transportation/tipper-trucks/man-tgm-18-290-4x4-3-way-meiller-tipper/bl3i4h5q.html
Isuzu NPR HD,Company,,,,,,https://www.mascus.com/transportation/box-body-trucks/isuzu-npr-hd/hpaobg6j.html
"Mercedes-Benz Actros 2443 6x2, EURO 6",Company,2016,1 miles,Netherlands,Cab & Chassis Trucks,"Mercedes-Benz Actros 2443 6x2, EURO 6",https://www.mascus.com/transportation/chassis-cab-trucks/mercedes-benz-actros-2443-6x2-euro-6/9gij8n5s.html
Ford Super Duty F-550,Company,2020,"58,386 miles",United States,Dump Trucks,Ford Super Duty F-550,https://www.mascus.com/transportation/tipper-trucks/ford-super-duty-f-550/djcs5jbj.html
Iveco AS260S58Y/FS CM 6x2-4 BDF Intarder Standklima,Company,2025,,Germany,Cab & Chassis Trucks,Iveco AS260S58Y/FS CM 6x2-4 BDF Intarder Standklima,https://www.mascus.com/transportation/chassis-cab-trucks/iveco-as260s58y-fs-cm-6x2-4-bdf-intarder-standklima/imeigncn.html
Phoenix Front Discharge Mixer,Company,2020,,United States,Concrete Trucks,Phoenix Front Discharge Mixer,https://www.mascus.com/transportation/concrete-trucks/phoenix-front-discharge-mixer/9g8g5qbh.html
Iveco AT190S46P EEV 3 SEITENKIPPER BLATT LUFT ABS KLIM,Company,2013,"297,133 miles",Austria,Dump Trucks,Iveco AT190S46P EEV 3 SEITENKIPPER BLATT LUFT ABS KLIM,https://www.mascus.com/transportation/tipper-trucks/iveco-at190s46p-eev-3-seitenkipper-blatt-luft-abs-klim/dodsaiek.html
Volvo FM 300 4x2 PLATFORM L=5321 Mm,Company,2008,"608,773 miles",Estonia,Car Haulers,Volvo FM 300 4x2 PLATFORM L=5321 mm,https://www.mascus.com/transportation/vehicle-transporters/volvo-fm-300-4x2-platform-l-5321-mm/es6p8o3o.html
Volvo FH16,Company,2019,"587,153 miles",Finland,Log trucks,Volvo FH16,https://www.mascus.com/transportation/timber-trucks/volvo-fh16/cigjdman.html
Volvo FH 460 8X4 / HIAB 700 E-6 + FLY JIB 165X-4 KRAAN /,Company,2004,"328,084 miles",Netherlands,Flatbed Trucks,Volvo FH 460 8X4 / HIAB 700 E-6 + FLY JIB 165X-4 KRAAN /,https://www.mascus.com/transportation/flatbed-dropside-trucks/volvo-fh-460-8x4-hiab-700-e-6-fly-jib-165x-4-kraan/7g5r9oak.html
Ford F-750,Company,2011,"241,530 miles",United States,Dump Trucks,Ford F-750,https://www.mascus.com/transportation/tipper-trucks/ford-f-750/hf9hakct.html
Volvo FM 330 / PORTAAL / ABSETZKIPPER,Company,2021,"109,937 miles",Netherlands,Skip loader trucks,Volvo FM 330 / PORTAAL / ABSETZKIPPER,https://www.mascus.com/transportation/skip-loader-trucks/volvo-fm-330-portaal-absetzkipper/ejfhghdj.html
Renault Premium 270Dxi TK Spectrum – --R-033,Company,2014,,Spain,Reefer Trucks,Renault Premium 270Dxi TK Spectrum – --R-033,https://www.mascus.com/transportation/temperature-controlled-trucks/renault-premium-270dxi-tk-spectrum-r-033/hghshu5o.html
DAF XB 210FA,Company,2024,"45,565 miles",Netherlands,Box trucks,DAF XB 210FA,https://www.mascus.com/transportation/box-body-trucks/daf-xb-210fa/7n6rhpcq.html
Volvo FMX 330,Company,2011,"150,861 miles",Portugal,Dump Trucks,Volvo FMX 330,https://www.mascus.com/transportation/tipper-trucks/volvo-fmx-330/eg9rahbr.html
"MAN TG-S 18.430 4x2 BL Absetzkipper Meiller, Funk",Company,2020,"135,615 miles",Germany,Demountable Trucks,"MAN TG-S 18.430 4x2 BL Absetzkipper Meiller, Funk",https://www.mascus.com/transportation/demountables-trucks/man-tg-s-18-430-4x2-bl-absetzkipper-meiller-funk/agfrepfm.html
MAN LE 280,Company,1997,"301,365 miles",Belgium,Dump Trucks,MAN LE 280,https://www.mascus.com/transportation/tipper-trucks/man-le-280/ekimil8q.html
Renault Premium,Company,2012,"374,740 miles",France,Curtain Side Trucks,Renault Premium,https://www.mascus.com/transportation/curtainsider-trucks/renault-premium/er6s8oaf.html
Scania R480,Company,2009,,Sweden,Cab & Chassis Trucks,Scania R480,https://www.mascus.com/transportation/chassis-cab-trucks/scania-r480/aibmgmhf.html
MAN TGA 41.440 TGA 8X8 8x8 18m3 Meiller Tipper Steelsu,Company,2007,"359,298 miles",Netherlands,Dump Trucks,MAN TGA 41.440 TGA 8X8 8x8 18m3 Meiller tipper Steelsu,https://www.mascus.com/transportation/tipper-trucks/man-tga-41-440-tga-8x8-8x8-18m3-meiller-tipper-steelsu/ihifgu8h.html
Bauer Bauer BG 9 H,Company,1994,,Germany,Other Trucks,Bauer Bauer BG 9 H,https://www.mascus.com/transportation/other-trucks/bauer-bauer-bg-9-h/ejhrdk4s.html
Renault T 460 * LBW * 2 X TANK * RETARDER * GERMAN TRUCK,Company,2017,"636,905 miles",Germany,Cab & Chassis Trucks,Renault T 460 * LBW * 2 X TANK * RETARDER * GERMAN TRUCK,https://www.mascus.com/transportation/chassis-cab-trucks/renault-t-460-lbw-2-x-tank-retarder-german-truck/aufgfjch.html
Scania R 460 B6x2*4NB,Company,2023,"386,158 miles",Germany,Cab & Chassis Trucks,Scania R 460 B6x2*4NB,https://www.mascus.com/transportation/chassis-cab-trucks/scania-r-460-b6x2-4nb/3ihkgqhg.html
Freightliner M2 106,Company,2018,,United States,Reefer Trucks,Freightliner M2 106,https://www.mascus.com/transportation/temperature-controlled-trucks/freightliner-m2-106/ducrggan.html
Volvo FH 500 6x4 Retarder Euro 5 Airconditioning Side Do,Company,2013,"529,915 miles",Netherlands,Box trucks,Volvo FH 500 6x4 Retarder Euro 5 Airconditioning Side Do,https://www.mascus.com/transportation/box-body-trucks/volvo-fh-500-6x4-retarder-euro-5-airconditioning-side-do/8geqcm7i.html
Volvo FH500 8X4/4,Company,2016,"303,850 miles",Estonia,Demountable Trucks,Volvo FH500 8X4/4,https://www.mascus.com/transportation/demountables-trucks/volvo-fh500-8x4-4/etfqelhk.html
Volvo FH 13,Company,2013,"510,829 miles",Finland,Log trucks,Volvo FH 13,https://www.mascus.com/transportation/timber-trucks/volvo-fh-13/3sctguel.html
Scania R 580 6x2*4 FOR SALE AS CHASSIS / CHASSIS L=8100 M,Company,2017,"340,923 miles",Estonia,Cab & Chassis Trucks,Scania R 580 6x2*4 FOR SALE AS CHASSIS / CHASSIS L=8100 m,https://www.mascus.com/transportation/chassis-cab-trucks/scania-r-580-6x2-4-for-sale-as-chassis-chassis-l-8100-m/fffhbmhk.html
Mercedes-Benz Atego 1524 Palfinger 12002 Bis 19 Meter,Company,2013,"100,973 miles",Germany,Flatbed Trucks,Mercedes-Benz Atego 1524 Palfinger 12002 bis 19 Meter,https://www.mascus.com/transportation/flatbed-dropside-trucks/mercedes-benz-atego-1524-palfinger-12002-bis-19-meter/9t3fbghh.html
Freightliner M2106,Company,2014,"51,639 miles",United States,Boom / Crane / Bucket Trucks,Freightliner M2106,https://www.mascus.com/transportation/crane-trucks/freightliner-m2106/eibmit8j.html
Scania R 580 TIPPBIL,Company,2015,"243,568 miles",Norway,Dump Trucks,Scania R 580 TIPPBIL,https://www.mascus.com/transportation/tipper-trucks/scania-r-580-tippbil/igig7g3m.html
Ford E350,Company,2014,,United States,Box trucks,Ford E350,https://www.mascus.com/transportation/box-body-trucks/ford-e350/ar5jgs6q.html
Mercedes-Benz Atego 818,Company,2011,"251,034 miles",Greece,Curtain Side Trucks,Mercedes-Benz Atego 818,https://www.mascus.com/transportation/curtainsider-trucks/mercedes-benz-atego-818/du4h5mgo.html
Mack DM685S,Company,1987,,United States,Concrete Trucks,Mack DM685S,https://www.mascus.com/transportation/concrete-trucks/mack-dm685s/6gas6ids.html
International 4300,Company,2007,"201,840 miles",United States,Box trucks,International 4300,https://www.mascus.com/transportation/box-body-trucks/international-4300/es9fah6u.html
"MAN TGS 26.480 6x4 BB, Palfinger Kran PK 92002- SH G",Company,2012,"54,059 miles",Germany,Flatbed Trucks,"MAN TGS 26.480 6x4 BB, Palfinger Kran PK 92002- SH G",https://www.mascus.com/transportation/flatbed-dropside-trucks/man-tgs-26-480-6x4-bb-palfinger-kran-pk-92002-sh-g/fp8nis9g.html
Iveco Eurocargo 100E17,Company,2006,"153,482 miles",France,Box trucks,Iveco Eurocargo 100E17,https://www.mascus.com/transportation/box-body-trucks/iveco-eurocargo-100e17/7l4uhtgm.html
Volvo FM 330,Company,2024,"23,612 miles",Sweden,Box trucks,Volvo FM 330,https://www.mascus.com/transportation/box-body-trucks/volvo-fm-330/brdgdm5t.html
International MV607,Company,2020,"182,000 miles",United States,Other Trucks,International MV607,https://www.mascus.com/transportation/other-trucks/international-mv607/ai7r3h8o.html
Mack MD6,Company,,,,,,https://www.mascus.com/transportation/box-body-trucks/mack-md6/hf7tih9j.html
MAN L2000 **9.153-BELGIAN TRUCK**,Company,1994,"241,153 miles",Belgium,Flatbed Trucks,MAN L2000 **9.153-BELGIAN TRUCK**,https://www.mascus.com/transportation/flatbed-dropside-trucks/man-l2000-9-153-belgian-truck/fp3s7l5n.html
Mercedes-Benz SPRINTER 310 - DoKa - Spriegel - Plane - 142 TKm,Company,2013,"88,732 miles",Germany,Curtain Side Trucks,Mercedes-Benz SPRINTER 310 - DoKa - Spriegel - Plane - 142 TKm,https://www.mascus.com/transportation/curtainsider-trucks/mercedes-benz-sprinter-310-doka-spriegel-plane-142-tkm/9i7s6fcq.html
GMC G3500,Company,2022,"98,032 miles",United States,Reefer Trucks,GMC G3500,https://www.mascus.com/transportation/temperature-controlled-trucks/gmc-g3500/apgmgsdp.html
Mercedes-Benz Atego 1524 Atego 4X2 6-Cylinder Auromatic Thermo K,Company,2016,"158,062 miles",Netherlands,Reefer Trucks,Mercedes-Benz Atego 1524 Atego 4X2 6-Cylinder Auromatic Thermo K,https://www.mascus.com/transportation/temperature-controlled-trucks/mercedes-benz-atego-1524-atego-4x2-6-cylinder-auromatic-thermo-k/3o4f3s5o.html
Mercedes-Benz Atego 924 3-Way Tipper Truck,Company,,"103,769 miles",Hungary,Dump Trucks,Mercedes-Benz Atego 924 3-way tipper truck,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-atego-924-3-way-tipper-truck/8j8gbp7s.html
MAN TGS 41.520 TGS 41.520 8X4 BB Euro 6e,Company,2025,,Germany,Cab & Chassis Trucks,MAN TGS 41.520 TGS 41.520 8X4 BB Euro 6e,https://www.mascus.com/transportation/chassis-cab-trucks/man-tgs-41-520-tgs-41-520-8x4-bb-euro-6e/3t5n4rfl.html
Volvo VAH,Company,,,,,,https://www.mascus.com/transportation/vehicle-transporters/volvo-vah/7m9fghhh.html
Volvo FMX 500 Volvo FMX 500 8x4,Company,2024,,Germany,Cab & Chassis Trucks,Volvo FMX 500 Volvo FMX 500 8x4,https://www.mascus.com/transportation/chassis-cab-trucks/volvo-fmx-500-volvo-fmx-500-8x4/gj6pcu8s.html
DAF LF 260 4X2 Thermo-King T-600R Cooler 1500kg Ladebo,Company,2018,"83,148 miles",Netherlands,Reefer Trucks,DAF LF 260 4X2 Thermo-King T-600R cooler 1500kg Ladebo,https://www.mascus.com/transportation/temperature-controlled-trucks/daf-lf-260-4x2-thermo-king-t-600r-cooler-1500kg-ladebo/itiifgim.html
Ford F-750,Company,2011,,United States,Flatbed Trucks,Ford F-750,https://www.mascus.com/transportation/flatbed-dropside-trucks/ford-f-750/ik6pfl3o.html
Scania P 250 DB4x2MLB,Company,2017,"187,343 miles",Finland,Box trucks,Scania P 250 DB4x2MLB,https://www.mascus.com/transportation/box-body-trucks/scania-p-250-db4x2mlb/5kergjao.html
Isuzu Abroller TDO-BR 56,Company,2017,,Germany,Other Trucks,Isuzu Abroller TDO-BR 56,https://www.mascus.com/transportation/other-trucks/isuzu-abroller-tdo-br-56/3i5getan.html
MAN 18.264,Company,1999,"480,046 miles",Spain,Tank Trucks,MAN 18.264,https://www.mascus.com/transportation/tank-trucks/man-18-264/bpgf7j6g.html
Volvo FH Volvo FH 500 10x4. Ajokoneritilä Taitolla. 2-Ak,Company,2022,"143,847 miles",Finland,Car Haulers,Volvo FH Volvo FH 500 10x4. Ajokoneritilä taitolla. 2-ak,https://www.mascus.com/transportation/vehicle-transporters/volvo-fh-volvo-fh-500-10x4-ajokoneritila-taitolla-2-ak/3peshl7j.html
Mercedes-Benz Antos 2540 6X2,Company,2015,"425,681 miles",Netherlands,Reefer Trucks,Mercedes-Benz Antos 2540 6X2,https://www.mascus.com/transportation/temperature-controlled-trucks/mercedes-benz-antos-2540-6x2/dnhr8p6g.html
Mercedes-Benz Arocs 1830 I Atlas 120.2 Faltkran*Funk*UVV2026,Company,2016,"121,155 miles",Germany,Flatbed Trucks,Mercedes-Benz Arocs 1830 I Atlas 120.2 Faltkran*Funk*UVV2026,https://www.mascus.com/transportation/flatbed-dropside-trucks/mercedes-benz-arocs-1830-i-atlas-120-2-faltkran-funk-uvv2026/au3lelbm.html
Volvo FH 16 650 8x4*4 CRANAB TZ12.2,Company,2020,"496,648 miles",Estonia,Log trucks,Volvo FH 16 650 8x4*4 CRANAB TZ12.2,https://www.mascus.com/transportation/timber-trucks/volvo-fh-16-650-8x4-4-cranab-tz12-2/cubn4p3j.html
Renault D WIDE 19T + THERMO KING T-1200R + DHOLLANDIA 1.50,Company,2025,"24,364 miles",Netherlands,Reefer Trucks,Renault D WIDE 19T + THERMO KING T-1200R + DHOLLANDIA 1.50,https://www.mascus.com/transportation/temperature-controlled-trucks/renault-d-wide-19t-thermo-king-t-1200r-dhollandia-1-50/hkdhdtdm.html
Fuso Canter 3C13,Company,2018,"79,101 miles",France,Dump Trucks,Fuso Canter 3C13,https://www.mascus.com/transportation/tipper-trucks/fuso-canter-3c13/3q9hff7o.html
International MV607,Company,2020,"185,163 miles",United States,Reefer Trucks,International MV607,https://www.mascus.com/transportation/temperature-controlled-trucks/international-mv607/bs3uhudr.html
Howo 375 8x4,Company,2024,"5,282 miles",China,Dump Trucks,Howo 375 8x4,https://www.mascus.com/transportation/tipper-trucks/howo-375-8x4/ioglatfo.html
DAF XF 450 / OPRIJ - MACHINE TRANSPORT / 6x2,Company,2020,"306,566 miles",Netherlands,Car Haulers,DAF XF 450 / OPRIJ - MACHINE TRANSPORT / 6x2,https://www.mascus.com/transportation/vehicle-transporters/daf-xf-450-oprij-machine-transport-6x2/5qbifj4t.html
Mercedes-Benz Atego 818 Hegla Glasreff,Company,2017,"23,053 miles",Germany,Flatbed Trucks,Mercedes-Benz Atego 818 Hegla Glasreff,https://www.mascus.com/transportation/flatbed-dropside-trucks/mercedes-benz-atego-818-hegla-glasreff/ghit6mbh.html
DAF CF85 360,Company,2012,"289,559 miles",France,Boom / Crane / Bucket Trucks,DAF CF85 360,https://www.mascus.com/transportation/crane-trucks/daf-cf85-360/4s7k5kei.html
Schwing S 39 SX RZ,Company,,,United States,Concrete Trucks,Schwing S 39 SX RZ,https://www.mascus.com/transportation/concrete-trucks/schwing-s-39-sx-rz/gt3g8ihk.html
Effedi Gasolone,Company,2009,"33,196 miles",France,Dump Trucks,Effedi Gasolone,https://www.mascus.com/transportation/tipper-trucks/effedi-gasolone/3p6i9i4o.html
DAF LF 230 LF 4X2 12tonner 1500kg Ladebordwand ACC Aut,Company,2021,"100,438 miles",Netherlands,Box trucks,DAF LF 230 LF 4X2 12tonner 1500kg Ladebordwand ACC Aut,https://www.mascus.com/transportation/box-body-trucks/daf-lf-230-lf-4x2-12tonner-1500kg-ladebordwand-acc-aut/hlhsisch.html
Volvo FM 380,Company,2012,"915,312 miles",Sweden,Box trucks,Volvo FM 380,https://www.mascus.com/transportation/box-body-trucks/volvo-fm-380/ar9sbn5f.html
Iveco DAILY 55S18DW 4x4 Doka,Company,2010,"123,608 miles",Poland,Cab & Chassis Trucks,Iveco DAILY 55S18DW 4x4 Doka,https://www.mascus.com/transportation/chassis-cab-trucks/iveco-daily-55s18dw-4x4-doka/4n4f7t8i.html
Iveco Daily 65 C17 Fassi Crane,Company,2009,"124,274 miles",Croatia,Boom / Crane / Bucket Trucks,Iveco Daily 65 C17 Fassi Crane,https://www.mascus.com/transportation/crane-trucks/iveco-daily-65-c17-fassi-crane/djcs4n8l.html
Scania P250 4x2 Tautliner - Jumbo - Euro 6 - Opti Cruise,Company,2013,"588,456 miles",Netherlands,Curtain Side Trucks,Scania P250 4x2 Tautliner - Jumbo - Euro 6 - Opti Cruise,https://www.mascus.com/transportation/curtainsider-trucks/scania-p250-4x2-tautliner-jumbo-euro-6-opti-cruise/8r5r8g8q.html
Freightliner M2 106,Company,2015,"238,423 miles",United States,Box trucks,Freightliner M2 106,https://www.mascus.com/transportation/box-body-trucks/freightliner-m2-106/5feh3nis.html
Iveco STRALIS 480,Company,2005,"297,685 miles",France,Hook lift trucks,Iveco STRALIS 480,https://www.mascus.com/transportation/hook-lift-trucks/iveco-stralis-480/4ogfhi8k.html
Freightliner M2-106 26' Box Truck With Lift Gate ONLY 48k Miles,Company,2019,"48,535 miles",United States,Box trucks,Freightliner M2-106 26' Box Truck With lift Gate ONLY 48k Miles,https://www.mascus.com/transportation/box-body-trucks/freightliner-m2-106-26-box-truck-with-lift-gate-only-48k-miles/8rhu9nhr.html
"DAF CF75-310, ADR, PTO, 9.0 Ton Front-Axle, WB:450 Cm",Company,2007,"444,935 miles",Netherlands,Cab & Chassis Trucks,"DAF CF75-310, ADR, PTO, 9.0 Ton Front-axle, WB:450 cm",https://www.mascus.com/transportation/chassis-cab-trucks/daf-cf75-310-adr-pto-9-0-ton-front-axle-wb-450-cm/4ngp5uhk.html
Scania R 420 6x2*4 EFFER 315/8S + WINCH YEAR 2015 ! / CAB,Company,2008,"587,647 miles",Estonia,Boom / Crane / Bucket Trucks,Scania R 420 6x2*4 EFFER 315/8S + WINCH YEAR 2015 ! / CAB,https://www.mascus.com/transportation/crane-trucks/scania-r-420-6x2-4-effer-315-8s-winch-year-2015-cab/4q5u9r8i.html
Mack GR64F,Company,2027,,United States,Dump Trucks,Mack GR64F,https://www.mascus.com/transportation/tipper-trucks/mack-gr64f/3m5tiuih.html
Howo 371,Company,2023,,China,Dump Trucks,Howo 371,https://www.mascus.com/transportation/tipper-trucks/howo-371/ikds9ifn.html
Freightliner M2 106,Company,2020,"247,048 miles",United States,Reefer Trucks,Freightliner M2 106,https://www.mascus.com/transportation/temperature-controlled-trucks/freightliner-m2-106/6p8q4pek.html
